cleaned_tokens,task1,task2
"['hate', 'wen', 'females', 'hit', 'ah', 'nigga', 'tht', 'bro', '😂😂', 'i’m', 'tryna', 'make', 'u', 'la', 'sweety', 'fuck', 'ah', 'bro']",HOF,PRFN
"['rt', 'airjunebug', 'youre', 'bay', 'youre', 'really', 'ny', 'nigga', 'heart', 'w', 'supportcaleon', 'httpstcomz8baylnlf']",HOF,PRFN
"['rt', 'donaldjtrumpjr', 'dear', 'democrats', 'american', 'people', 'aren’t', 'stupid', 'know', 'spying', 'amount', 'gaslighting', 'change', 'th…']",NOT,NONE
"['rt', 'shelovetimothy', 'ain’t', 'drugs', 'bored', 'shit', 'i’m', 'bored', '😂', 'httpstcotkdjsbddet']",NOT,PRFN
"['rt', 'tavianjordan', 'summer', '‘19', 'i’m', 'coming', 'boring', 'shit', 'beach', 'days', 'road', 'trips', 'kickbacks', 'hot', 'days', 'i’m', 'ready', 'i’m', 'ready', 'i’m…']",NOT,NONE
"['hermescxbin', 'turn', 'shit']",HOF,PRFN
"['rt', 'spaceboykenny', 'know', 'fuck', 'bout', 'cel', 'shading', 'horny', 'instead', 'httpstcocipien8zja']",HOF,PRFN
"['lemme', 'go', 'breakdown', 'rq', 'hol', 'httpstcoc5mbt2ea1j']",HOF,NONE
"['polo', 'ts', 'ones', 'that’s', 'feeeling', 'fly', 'fly', 'like', 'bitch', 'don’t', 'touch']",HOF,PRFN
"['fucking', 'love', 'life']",HOF,PRFN
"['nigbmt', '‘in', 'newspaper', '‘', 'weak😂😂😂', 'bro', 'ending', 'pissed', 'off😭']",NOT,NONE
"['nobody', 'angie', 'u', 'getting', 'dick', 'cus', 'ur', 'ass', 'looks', 'bigger']",HOF,OFFN
"['rt', 'tedlieu', 'oh', 'look', 'realdonaldtrump', 'sending', 'rudy', 'giuliani', 'actively', 'seek', 'assistance', 'foreign', 'government', 'help', 'trump', 'i…']",NOT,NONE
"['rt', 'tikkkii', 'bitches', 'real', 'life', 'bird', 'fuck', 'good', 'sex', 'i’m', 'sick']",HOF,OFFN
"['thekoyostore', 'rainbow6game', 'hnnnng', 'need']",NOT,NONE
"['obvious', 'beginning', 'always', 'regarded', 'maverick', 'pm’s', 'letter', 'also', 'suggest…', 'httpstcorivyznepq1']",NOT,NONE
"['get', 'surgical', 'shit', '💉', 'httpstco5u8di1wafc']",HOF,PRFN
"['really', 'don’t', 'want', 'start', 'weekend', 'way', 'yet', 'vile', 'post', 'labeled', 'lie…', 'httpstcorfysuddb1b']",NOT,NONE
"['fucking', 'beast', 'honestly👀🐐🐐🐐']",HOF,PRFN
"['strangementle', 'deltarunes', 'tracks', 'fucking', 'bangers', 'em']",HOF,PRFN
"['rt', 'natalianoyes', 'might', 'fuck', 'around', 'go', 'missing', 'months']",HOF,PRFN
"['rt', 'melissafumeros', 'mean', 'honestly', 'i’ve', 'seen', 'lot', 'dumb', 'shit', 'twitter', 'one', 'really', 'dumbest', 'congrats', 'emily', 'ur', 'stupid…']",HOF,OFFN
"['rt', 'keitholbermann', 'nyc', 'found', 'dog', 'alert', 'he’s', 'still', 'missing', 'he’s', 'still', '28th', 'somebody’s', 'missing', 'please', 'rt', 'httpstco8go…']",NOT,NONE
"['aewrestling', 'booked', 'hangman', 'vs', 'orange', 'cassidy', 'yet']",NOT,NONE
"['whitefacessbu', 'luckylotusult', 'yeah', 'shook', 'found', 'lmao', 'he’s', 'talented', 'kid', 'though', 'he…', 'httpstcot30ysjfz2v']",HOF,NONE
"['viddywel2', 'think', 'youre', 'funny']",NOT,NONE
"['rt', 'zipamoney', 'holy', 'shit', 'get', 'best', 'fucking', 'subs', 'louis', 'vuitton', 'bags', 'they’re', 'medical', 'students', 'they’re', 'lawyers', 'nurses…']",HOF,PRFN
"['brewer383', 'dheard00', 'daishatatianna', 'dont', 'need', 'youre', 'whole', 'life', 'story', 'shit', 'public', 'record', '😂😂😂', 'look']",HOF,PRFN
"['rt', 'tyousb', 'drug', 'dealer', 'got', '35', '25', 'don’t', 'smoke', 'drug', 'dealer', 'got', 'edibles', 'know', 'yo', 'fat', 'ass', 'eat', 'httpstco8…']",HOF,PRFN
"['lfc', 'christiansymoh', 'youre', 'losing', 'fam']",NOT,NONE
"['rt', 'incmp', 'live', 'congress', 'president', 'rahul', 'gandhi', 'addresses', 'public', 'meeting', 'hoshangabad', 'madhya', 'pradesh', 'abhoganyay', 'httpstcoag29ucrh…']",NOT,NONE
"['rt', 'realmenswallow1', 'hhhoottttt', '25', 'min', 'raw', '6way', 'fuck', 'fest', 'w', 'atlas', 'grant', 'avatar', 'akyia', 'ryan', 'powers', 'amp', 'theknights', '🐷🐷', 'see', '…']",HOF,PRFN
"['rt', 'lilheli', 'watch', 'son', 'come', 'looking', 'like', 'damn', 'daddy', '😩']",HOF,PRFN
"['rt', 'sidlambert', 'andrea', 'pirlo’s', '40th', 'birthday', 'reminder', 'time', 'nobody', 'pass', 'decided', 'ping', 'bastard', 'himse…']",NOT,PRFN
"['rt', 'mrdane1982', 'ive', 'said', 'election', 'youre', 'voring', 'two', 'different', 'americas', 'everything', 'ballot', 'wasnt', 'enough', 'self…']",NOT,NONE
"['rt', 'hindusinuk', 'gujarati', 'hindu', 'india', 'parents', 'mother', 'father', 'mum', 'dad', 'truth', 'love', 'compassion', 'child', 'son', 'daughter', 'sanskaras', 'maa', '…']",NOT,NONE
"['rt', 'mohanajtweet', 'ஒரே', 'ஒரு', 'family', 'entertainer', 'movie', 'தான்', 'சிவா', 'சார்', '😍🙏', 'total', 'record', 'uhm', 'close', '😉💪', 'record', 'breaking', 'விஸ்வாசம்', '😎🔥', 'https…']",NOT,NONE
"['found', 'bran', 'going', 'king']",NOT,NONE
"['kaymu12', 'damn', 'serious', 'followed', 'morning', 'left', 'mine', 'gym', 'earlier', 'today', 'i…', 'httpstcobviv0tiabt']",NOT,NONE
"['fuck', 'charmander', 'httpstcodzewamw8tj']",HOF,PRFN
"['that’s', 'boys', 'fake', 'relationship', 'fuck']",HOF,PRFN
"['rt', 'winsome3005', 'comes', 'point', 'longer', 'care', 'there’s', 'light', 'end', 'tunnel', 'you’re', 'sick', 't…']",HOF,PRFN
"['rt', 'hondadeal4vets', 'u', 'ask', 'really', 'give', 'fuck', 'well', 'doink', 'chat', 'would', 'sleep', 'httpstcouno6p4h7gw']",HOF,PRFN
"['new', 'snap', 'filter', 'rlly', 'showed', 'id', 'fuck', 'game', 'chick', 'ima', 'whole', 'ass', 'bad', 'bitch', 'wow']",HOF,PRFN
"['rt', 'blktoppa', 'look', 'ass', 'httpstcokfjthictes']",HOF,OFFN
"['boogie2988', 'i’m', 'assuming', 'talking', 'got', 'don’t', 'watch', 'show', 'idea', 'you’re', 'talking']",HOF,HATE
"['rt', 'honeyjamnamjoon', 'btsworld', 'thinks', 'i’m', 'going', 'pick', 'calls', '2am', 'like', 'mystic', 'messenger', 'you’re', 'damn', 'right', 'httpstco…']",HOF,PRFN
"['rushh801', 'shit', 'thats', 'matters', 'never', 'big', 'lets', 'cut']",NOT,NONE
"['parasiteahcf', 'embroidery', 'would', 'good', 'place', 'start', 'children', 'small', 'hands', 'wellsuited', 'fine', 'needlework']",NOT,NONE
"['rt', 'bakerbitchbakes', 'fuck', 'georgia', 'law', 'makers', '😡😡😡', 'say']",HOF,PRFN
"['rt', 'ultems', 'talking', 'cardi', 'b', 'probably', 'went', 'next', 'room', 'took', 'clothes', 'posted', 'fucking', 'pussy', 'video', 'he…']",HOF,PRFN
"['trademarck', 'neilzee', 'knifewear', 'missed', 'garage', 'sale', 'usually', 'gets', 'one', 'father’s', 'day', 'birthday', 'add', 'collection', '😉']",NOT,NONE
['shame'],HOF,OFFN
"['rt', 'sudoutatsuya', 'eat', 'shit', 'grammar', 'nazis']",HOF,OFFN
"['rt', 'dreddxn', 'dream', 'youre']",NOT,NONE
"['forgot', 'much', 'buying', 'concert', 'tickets', 'stresses', 'fuck']",HOF,PRFN
"['julietmevans', 'bad', 'deal', 'totally', 'ruled', 'vile', 'idiot', 'eu', 'rest', 'world', 'going…', 'httpstco85mvjjbrko']",NOT,NONE
"['freepsports', 'don’t', 'like', 'lot', 'reasons', 'never', 'thought', 'played', 'game']",NOT,NONE
"['really', 'exiled', 'jon', 'like', 'fuck']",HOF,PRFN
"['rt', 'nikeismylogo23', 'facetime', 'reconnecting', 'shit', 'chance', 'hang', '😅']",HOF,PRFN
"['rt', 'realdonaldtrump', 'james', 'comey', 'disgrace', 'fbi', 'amp', 'go', 'worst', 'director', 'long', 'proud', 'history', 'broug…']",NOT,HATE
"['rt', 'datniggabooty', 'put', 'yo', 'face', 'ass', '🍑😝💦', 'httpstcokhnuzn54yy']",HOF,HATE
"['mitchellvii', 'president', 'trump', 'exceeded', 'expectations', 'stellar', 'president', 'wonde…', 'httpstcoemlucms1zd']",NOT,NONE
"['rt', 'adivasismatter', 'want', 'tell', 'world', 'rulers', 'country', 'looted', 'people', 'adivasi', 'author', 'gladson', 'dungdung', 'wr…']",NOT,NONE
"['rockets', 'shit', 'championships', 'james', 'harden', 'chris', 'paul', '😂']",HOF,PRFN
"['nonkukay', 'mom', 'told', 'umuntu', 'wahamba', 'must', 'never', 'come', 'back', 'cos', 'don’t', 'know', 'you’re', 'dealing', 'babuya', 'beshintshile', '🤞🏽']",NOT,NONE
"['aight', 'imm', 'go', 'listen', 'igor', 'fuck', 'wit', 'album']",HOF,PRFN
"['rt', 'softsadsatan', 'birth', 'control', 'counted', 'abortion', 'fuck', 'men', 'charge', 'able', 'make', 'laws', 'c…']",HOF,PRFN
"['keep', 'telling', 'brain', 'shut', 'fuck', 'get', 'sleep']",HOF,PRFN
